hwnd=0x93026c vis=0 class=IME                                      pid=  8064(ShellHost.exe       ) rect=[0,0 0x0] title="Default IME"
hwnd=0x820284 vis=0 class=IME                                      pid=   844(vctip.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x6c0368 vis=0 class=IME                                      pid=   844(vctip.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x1203a0 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0xf063c vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x4b0572 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x10132 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x10474 vis=0 class=IME                                      pid=  7836(WindowsTerminal.exe ) rect=[0,0 0x0] title="Default IME"
hwnd=0x301ae vis=0 class=IME                                      pid= 11204(Docker Desktop.exe  ) rect=[0,0 0x0] title="Default IME"
hwnd=0x605ce vis=0 class=IME                                      pid=  7692(rdpclip.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x903dc vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x20022c vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x704be vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x304de vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x3039a vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x40226 vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x30360 vis=0 class=IME                                      pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0xd03ee vis=0 class=IME                                      pid= 18024(conhost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x404ca vis=0 class=IME                                      pid= 18392(conhost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x40450 vis=0 class=IME                                      pid=  7564(conhost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x7006a vis=0 class=IME                                      pid= 15288(conhost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x70256 vis=0 class=IME                                      pid=  9552(TabTip.exe          ) rect=[0,0 0x0] title="Default IME"
hwnd=0x1040e vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x103e2 vis=0 class=IME                                      pid=  7692(rdpclip.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x203cc vis=0 class=IME                                      pid=  2448(rdpinput.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x502a6 vis=0 class=IME                                      pid= 10808(SystemSettings.exe  ) rect=[0,0 0x0] title="Default IME"
hwnd=0x7023c vis=0 class=IME                                      pid= 10808(SystemSettings.exe  ) rect=[0,0 0x0] title="Default IME"
hwnd=0x4012e vis=0 class=IME                                      pid= 10808(SystemSettings.exe  ) rect=[0,0 0x0] title="Default IME"
hwnd=0x20314 vis=0 class=IME                                      pid= 10812(ApplicationFrameHost.exe) rect=[0,0 0x0] title="Default IME"
hwnd=0x300da vis=0 class=IME                                      pid=  1044(conhost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x60072 vis=0 class=IME                                      pid=  1288(ollama app.exe      ) rect=[0,0 0x0] title="Default IME"
hwnd=0x102b8 vis=0 class=IME                                      pid=  7384(tailscale-ipn.exe   ) rect=[0,0 0x0] title="Default IME"
hwnd=0x3028e vis=0 class=IME                                      pid=  7404(pulpw.exe           ) rect=[0,0 0x0] title="Default IME"
hwnd=0x20070 vis=0 class=IME                                      pid=  5676(SecurityHealthSystray.exe) rect=[0,0 0x0] title="Default IME"
hwnd=0x10214 vis=0 class=IME                                      pid=  8664(RuntimeBroker.exe   ) rect=[0,0 0x0] title="Default IME"
hwnd=0x10202 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x201c0 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x10102 vis=0 class=IME                                      pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="Default IME"
hwnd=0x100e0 vis=0 class=IME                                      pid=  7932(CrossDeviceResume.exe) rect=[0,0 0x0] title="Default IME"
hwnd=0x2040a vis=0 class=IME                                      pid=  3940(TextInputHost.exe   ) rect=[0,0 0x0] title="Default IME"
hwnd=0x1008a vis=0 class=IME                                      pid=  7232(svchost.exe         ) rect=[0,0 0x0] title="Default IME"
hwnd=0x10054 vis=0 class=IME                                      pid=  3852(?                   ) rect=[0,0 0x0] title="Default IME"
hwnd=0x1012a vis=0 class=MSCTFIME UI                              pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x20614 vis=0 class=MSCTFIME UI                              pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x1046c vis=0 class=MSCTFIME UI                              pid=  8008(explorer.exe        ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x10488 vis=0 class=MSCTFIME UI                              pid=  7836(WindowsTerminal.exe ) rect=[0,0 0x0] title="MSCTFIME UI"
